Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
531,2014-01-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,154,NA
531,2014-06-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,232,NA
531,2014-09-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,402,NA
531,2014-01-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,291,NA
531,2014-01-20T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,289,NA
531,2014-01-23T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,192,NA
531,2014-01-28T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,280,NA
531,2014-03-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,326,NA
531,2014-06-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,297,NA
531,2014-11-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,246,NA
531,2014-02-14T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,50,115,NA
531,2014-02-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,263,NA
531,2014-02-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,197,NA
531,2014-02-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,254,NA
531,2014-05-03T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,135,NA
531,2014-10-03T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,129,NA
531,2014-03-13T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,167,NA
531,2014-03-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,220,NA
531,2014-03-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,234,NA
531,2014-02-04T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,219,NA
531,2014-07-04T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,130,NA
531,2014-04-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,334,NA
531,2014-04-21T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,130,NA
531,2014-04-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,50,163,NA
531,2014-04-29T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,137,NA
531,2014-05-05T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,257,NA
531,2014-08-05T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,210,NA
531,2014-05-13T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,33,146,NA
531,2014-05-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,146,NA
531,2014-05-22T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,109,NA
531,2014-05-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,206,NA
531,2014-02-06T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,198,NA
531,2014-05-06T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,215,NA
531,2014-10-06T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,221,NA
531,2014-06-13T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,138,NA
531,2014-06-18T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,203,NA
531,2014-06-23T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,168,NA
531,2014-06-26T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,132,NA
531,2014-02-07T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,33,224,NA
531,2014-07-07T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,272,NA
531,2014-10-07T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,104,NA
531,2014-07-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,124,NA
531,2014-07-23T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,68,NA
531,2014-07-28T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,129,NA
531,2014-04-08T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,111,NA
531,2014-07-08T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,154,NA
531,2014-12-08T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,126,NA
531,2014-08-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,146,NA
531,2014-08-22T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,177,NA
531,2014-08-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,134,NA
531,2014-02-09T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,174,NA
531,2014-05-09T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,62,NA
531,2014-10-09T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,84,NA
531,2014-09-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,80,NA
531,2014-09-18T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,107,NA
