id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,PM2.5,9,35,18,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,PM10,14,35,25,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,NO2,8,17,12,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,NH3,2,3,2,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,SO2,8,19,14,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,CO,14,62,29,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,OZONE,19,50,34,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,PM2.5,1,28,10,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,PM10,8,38,18,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,NO2,9,51,20,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,NH3,1,2,1,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,SO2,3,10,6,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,CO,23,65,35,NA
