country,state,city,station,last_update,latitude,longitude,CO_min,NH3_min,NO2_min,OZONE_min,PM10_min,PM2.5_min,SO2_min,CO_avg,NH3_avg,NO2_avg,OZONE_avg,PM10_avg,PM2.5_avg,SO2_avg,CO_max,NH3_max,NO2_max,OZONE_max,PM10_max,PM2.5_max,SO2_max
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-10-2019 02:00:00,14.7504291,78.57002559,29.0,2.0,12.0,34.0,25.0,18.0,14.0,62.0,3.0,17.0,50.0,35.0,35.0,19.0,14.0,2.0,8.0,19.0,14.0,9.0,8.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-10-2019 02:00:00,14.7504291,78.57002559,35.0,1.0,20.0,38.0,18.0,10.0,6.0,65.0,2.0,51.0,61.0,38.0,28.0,10.0,23.0,1.0,9.0,12.0,8.0,1.0,3.0
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",20-10-2019 02:00:00,14.7504291,78.57002559,27.0,4.0,34.0,16.0,32.0,18.0,3.0,38.0,5.0,43.0,23.0,50.0,33.0,5.0,11.0,4.0,30.0,9.0,18.0,6.0,1.0
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",20-10-2019 02:00:00,14.7504291,78.57002559,160.0,,2.0,12.0,51.0,31.0,12.0,161.0,,2.0,12.0,78.0,60.0,12.0,157.0,,2.0,12.0,25.0,15.0,12.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-10-2019 02:00:00,14.7504291,78.57002559,22.0,1.0,42.0,31.0,21.0,11.0,61.0,67.0,1.0,77.0,37.0,38.0,35.0,122.0,12.0,1.0,13.0,12.0,7.0,1.0,7.0
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",20-10-2019 02:00:00,26.7499809,94.21666744,31.0,1.0,23.0,19.0,90.0,95.0,17.0,66.0,1.0,56.0,20.0,169.0,277.0,20.0,17.0,1.0,5.0,17.0,30.0,25.0,15.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",20-10-2019 02:00:00,25.78541445,87.4799727,55.0,,32.0,7.0,,57.0,18.0,74.0,,40.0,15.0,,137.0,20.0,35.0,,22.0,2.0,,13.0,16.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-10-2019 02:00:00,25.78541445,87.4799727,41.0,,,62.0,,156.0,17.0,122.0,,,180.0,,312.0,24.0,12.0,,,29.0,,83.0,9.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",20-10-2019 02:00:00,25.78541445,87.4799727,68.0,,32.0,53.0,,181.0,91.0,105.0,,49.0,87.0,,317.0,100.0,13.0,,20.0,48.0,,73.0,81.0
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",20-10-2019 02:00:00,30.71999697,76.78000565,24.0,2.0,7.0,19.0,101.0,79.0,14.0,53.0,2.0,12.0,43.0,137.0,119.0,20.0,15.0,1.0,5.0,6.0,74.0,20.0,12.0
